,word,transcript,neighbours
0,"['а', 'б', 'с', 'о', 'л', 'ю', 'т', 'н', 'о']","['a', 'p', 's', 'a', ""l'"", 'u', 't', 'n', 'a']",[]
1,"['а', 'б', 'х', 'а', 'з', 'е', 'ц']","['a', 'p', 'h', 'a', ""z'"", 'i', 'c']",[]
2,"['а', 'в', 'г', 'у', 'с', 'т']","['a', 'v', 'g', 'u', 's', 't']","[['a', 'v', 'g', 'u', ""s'"", ""t'"", 'i']]"
3,"['а', 'в', 'г', 'у', 'с', 'т', 'е']","['a', 'v', 'g', 'u', ""s'"", ""t'"", 'i']","[['a', 'v', 'g', 'u', 's', 't']]"
4,"['а', 'в', 'т', 'о', 'б', 'и', 'о', 'г', 'р', 'а', 'ф', 'и', 'и']","['a', 'f', 't', 'a', ""b'"", 'i', 'a', 'g', 'r', 'a', ""f'"", 'i', 'i']",[]
5,"['а', 'в', 'т', 'о', 'б', 'у', 'с', 'е']","['a', 'f', 't', 'o', 'b', 'u', ""s'"", 'i']",[]
6,"['а', 'в', 'т', 'о', 'б', 'у', 'с', 'н', 'о', 'й']","['a', 'f', 't', 'o', 'b', 'u', 's', 'n', 'a', 'j']",[]
7,"['а', 'в', 'т', 'о', 'б', 'у', 'с', 'о', 'м']","['a', 'f', 't', 'o', 'b', 'u', 's', 'a', 'm']",[]
8,"['а', 'в', 'т', 'о', 'м', 'а', 'т']","['a', 'f', 't', 'a', 'm', 'a', 't']","[['a', 'f', 't', 'a', 'm', 'a', 't', 'a']]"
9,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'а']","['a', 'f', 't', 'a', 'm', 'a', 't', 'a']","[['a', 'f', 't', 'a', 'm', 'a', 't']]"
10,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'и', 'ч', 'е', 'с', 'к', 'и']","['a', 'f', 't', 'a', 'm', 'a', ""t'"", 'i', 'ch', 'i', 's', ""k'"", 'i']",[]
11,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'н', 'а', 'я']","['a', 'f', 't', 'a', 'm', 'a', 't', 'n', 'a', 'j', 'a']",[]
12,"['а', 'в', 'т', 'о', 'м', 'а', 'т', 'о', 'в']","['a', 'f', 't', 'a', 'm', 'a', 't', 'a', 'f']",[]
13,"['а', 'в', 'т', 'о', 'м', 'о', 'б', 'и', 'л', 'е']","['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'i']","[['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'i']]"
14,"['а', 'в', 'т', 'о', 'м', 'о', 'б', 'и', 'л', 'и']","['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'i']","[['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'i']]"
15,"['а', 'в', 'т', 'о', 'м', 'о', 'б', 'и', 'л', 'ь', 'н', 'о', 'й']","['a', 'f', 't', 'a', 'm', 'a', ""b'"", 'i', ""l'"", 'n', 'a', 'j']",[]
16,"['а', 'г', 'а', 'т', 'ы']","['a', 'g', 'a', 't', 'y']",[]
17,"['а', 'д', 'а', 'м', 'а']","['a', 'd', 'a', 'm', 'a']",[]
18,"['а', 'д', 'в', 'о', 'к', 'а', 'т', 'ы']","['a', 'd', 'v', 'a', 'k', 'a', 't', 'y']",[]
19,"['а', 'д', 'м', 'и', 'н', 'и', 'с', 'т', 'р', 'а', 'т', 'и', 'в', 'н', 'о', 'й']","['a', 'd', ""m'"", 'i', ""n'"", 'i', 's', 't', 'r', 'a', ""t'"", 'i', 'v', 'n', 'a', 'j']",[]
20,"['а', 'д', 'р', 'е', 'с', 'а']","['a', 'd', ""r'"", 'i', 's', 'a']","[['a', 'd', ""r'"", 'i', 's', 'u']]"
21,"['а', 'д', 'р', 'е', 'с', 'о', 'в', 'а', 'н', 'н', 'о', 'м']","['a', 'd', ""r'"", 'i', 's', 'o', 'v', 'a', 'n', 'a', 'm']",[]
22,"['а', 'д', 'р', 'е', 'с', 'у']","['a', 'd', ""r'"", 'i', 's', 'u']","[['a', 'd', ""r'"", 'i', 's', 'a']]"
